DATAFLOW,LAST UPDATE,freq,tra_infr,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2016,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2017,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2018,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2019,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2020,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2021,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2022,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2023,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2003,64,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2004,66,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2005,66,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2006,129,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2007,129,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2008,129,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2009,147,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2010,150,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2011,147,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2012,66,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2013,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2014,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2015,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2016,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2017,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2018,154,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2019,161,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2020,191,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2021,191,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2022,201,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PRAHA/RUZYNE airport,2023,201,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2003,36,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2004,36,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2006,36,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2007,36,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2008,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2009,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2010,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2011,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2012,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2013,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2014,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2015,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2016,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2021,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2022,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BERLIN-BRANDENBURG airport,2023,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2003,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2004,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2006,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2007,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2008,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2009,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2010,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2011,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2012,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2013,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2014,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2015,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2016,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2021,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2022,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,DRESDEN airport,2023,24,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,FRANKFURT/MAIN airport,2003,481,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,FRANKFURT/MAIN airport,2004,481,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,FRANKFURT/MAIN airport,2006,481,,
